0.00E+00	0.001586	-0.014347
5.00E-05	0.001629	-0.014423
1.00E-04	0.001675	-0.014325
0.00015		0.000525	-0.014578
0.0002		-0.000248	-0.014135
0.00025		-0.000202	-0.014996
0.0003		-0.000358	-0.01072
0.00035		-0.000337	0.002416
0.0004		-0.000376	0.004821
0.00045		-0.00031	0.005559
0.0005		-0.000384	0.00537
0.00055		-0.000297	0.005575
0.0006		-0.000395	0.005386
0.00065		-0.000278	0.00549
0.0007		-0.000391	0.005348
0.00075		-0.000189	0.00557
0.0008		-0.001189	0.005411
0.00085		-0.003089	0.005552
0.0009		-0.003318	0.005562
0.00095		-0.003464	0.004461
0.001		-0.003449	-0.013689
0.00105		-0.003434	-0.022035
0.0011		-0.003479	-0.022368
0.00115		-0.003381	-0.022971
0.0012		-0.003444	-0.022617
0.00125		-0.003427	-0.022957
0.0013		-0.003457	-0.022689
0.00135		-0.003409	-0.022949
0.0014		-0.003551	-0.022673
0.00145		-0.002668	-0.022998
0.0015		0.000648	-0.022664
0.00155		0.001415	-0.023007
0.0016		0.001588	-0.022438
0.00165		0.001512	-0.026227
0.0017		0.001537	-0.029714
0.00175		0.001581	-0.029984
0.0018		0.001597	-0.030134
0.00185		0.001605	-0.030175
0.0019		0.001614	-0.030117
0.00195		0.001581	-0.030252
0.002		0.001635	-0.030128
0.00205		0.001563	-0.030274
0.0021		0.001335	-0.029997
0.00215		-0.00261	-0.030416
0.0022		-0.004417	-0.029665
0.00225		-0.004517	-0.031043
0.0023		-0.004634	-0.024591
0.00235		-0.004617	0.008412
0.0024		-0.004643	0.01797
0.00245		-0.004586	0.019006
0.0025		-0.00456	0.019338
0.00255		-0.00461	0.019309
0.0026		-0.004498	0.01937
0.00265		-0.004641	0.0194
0.0027		-0.004466	0.019431
0.00275		-0.004752	0.019348
0.0028		-0.002777	0.019471
0.00285		-0.000558	0.019304
0.0029		-0.000507	0.019662
0.00295		-0.000308	0.017498
0.003		-0.000424	0.005474
0.00305		-0.000302	0.001932
0.0031		-0.000345	0.001471
0.00315		-0.000322	0.001398
0.0032		-0.000351	0.00137
0.00325		-0.000317	0.001426
0.0033		-0.000337	0.001234
0.00335		-0.000311	0.00139
0.0034		-0.000258	0.001219
0.00345		-0.000531	0.001534
0.0035		-0.001914	0.001131
0.00355		-0.002387	0.001633
0.0036		-0.002391	0.000977
0.00365		-0.002363	0.011214
0.0037		-0.002372	0.018725
0.00375		-0.002396	0.018956
0.0038		-0.00244	0.019474
0.00385		-0.002435	0.019315
0.0039		-0.002362	0.019393
0.00395		-0.002388	0.019455
0.004		-0.002431	0.019227
0.00405		-0.002521	0.019555
0.0041		-0.002029	0.019067
0.00415		-6.85E-06	0.019714
0.0042		0.000521	0.018738
0.00425		0.000596	0.020542
0.0043		0.000572	0.01013
0.00435		0.000602	-0.005822
0.0044		0.000561	-0.007068
0.00445		0.000558	-0.008291
0.0045		0.000548	-0.007732
0.00455		0.000589	-0.00826
0.0046		0.000573	-0.007836
0.00465		0.000546	-0.008204
0.0047		0.000528	-0.007965
0.00475		0.000585	-0.00812
0.0048		0.001197	-0.007968
0.00485		0.001549	-0.00811
0.0049		0.001552	-0.008051
0.00495		0.00157	-0.007426
0.005		0.001563	-0.003829
0.00505		0.001571	-0.003006
0.0051		0.001626	-0.002798
0.00515		0.001635	-0.002921
0.0052		0.001549	-0.002772
0.00525		0.001538	-0.002915
0.0053		0.001604	-0.00276
0.00535		0.001563	-0.002964
0.0054		0.001583	-0.002712
0.00545		0.001415	-0.002983
0.0055		0.000788	-0.002625
0.00555		0.000562	-0.003087
0.0056		0.000535	-0.002503
0.00565		0.000535	-0.009779
0.0057		0.000603	-0.015818
0.00575		0.000591	-0.015961
0.0058		0.000544	-0.016484
0.00585		0.000589	-0.016308
0.0059		0.000577	-0.016496
0.00595		0.000627	-0.01636
0.006		0.000646	-0.016408
0.00605		0.000584	-0.016365
0.0061		0.000561	-0.016304
0.00615		0.000544	-0.016508
0.0062		0.000563	-0.016267
0.00625		0.000563	-0.016507
0.0063		0.000514	-0.012821
0.00635		0.000525	-0.00933
0.0064		0.000526	-0.009388
0.00645		0.000568	-0.00899
0.0065		0.000542	-0.009218
0.00655		0.000542	-0.009012
0.0066		0.000611	-0.009097
0.00665		0.000544	-0.008916
0.0067		0.00057	-0.00909
0.00675		0.0004	-0.008904
0.0068		-0.000842	-0.009166
0.00685		-0.001242	-0.008931
0.0069		-0.00126	-0.009333
0.00695		-0.001354	-0.007322
0.007		-0.001338	-0.003397
0.00705		-0.001322	-0.002973
0.0071		-0.001381	-0.002804
0.00715		-0.001364	-0.002845
0.0072		-0.001396	-0.002699
0.00725		-0.001376	-0.002777
0.0073		-0.001427	-0.002742
0.00735		-0.001324	-0.002764
0.0074		-0.0014	-0.002775
0.00745		-0.000988	-0.002823
0.0075		-0.000393	-0.002738
0.00755		-0.000355	-0.002868
0.0076		-0.000325	-0.002236
0.00765		-0.000302	0.001271
0.0077		-0.000335	0.002303
0.00775		-0.000321	0.002454
0.0078		-0.000372	0.002454
0.00785		-0.000302	0.00252
0.0079		-0.00033	0.002479
0.00795		-0.000281	0.002531
0.008		-0.000254	0.002336
0.00805		-0.000366	0.002522
0.0081		-0.000293	0.002344
0.00815		-0.000333	0.00264
0.0082		-0.000314	0.002303
0.00825		-0.000339	0.002794
0.0083		-0.000273	-0.004675
0.00835		-0.000308	-0.010611
0.0084		-0.000344	-0.010686
0.00845		-0.000317	-0.011304
0.0085		-0.000361	-0.010897
0.00855		-0.000348	-0.011278
0.0086		-0.000324	-0.010903
0.00865		-0.000322	-0.011324
0.0087		-0.000321	-0.010966
0.00875		-0.000178	-0.011413
0.0088		0.000403	-0.010811
0.00885		0.000565	-0.011509
0.0089		0.000599	-0.01052
0.00895		0.000547	-0.019201
0.009		0.000583	-0.027189
0.00905		0.000573	-0.027492
0.0091		0.000583	-0.028116
0.00915		0.000531	-0.027908
0.0092		0.000554	-0.028062
0.00925		0.00054	-0.027939
0.0093		0.000632	-0.027975
0.00935		0.000551	-0.028093
0.0094		0.000609	-0.027868
0.00945		-0.000421	-0.02823
0.0095		-0.001285	-0.027603
0.00955		-0.0013	-0.028786
0.0096		-0.001364	-0.023421
0.00965		-0.001241	-0.006768
0.0097		-0.001308	-0.00356
0.00975		-0.001353	-0.002632
0.0098		-0.001396	-0.002867
0.00985		-0.001348	-0.002595
0.0099		-0.001419	-0.002853
0.00995		-0.001352	-0.002623
0.01		-0.00137	-0.002853
0.01005		-0.00136	-0.002618
0.0101		-0.001328	-0.002816
0.01015		-0.001328	-0.002603
0.0102		-0.00136	-0.002842
0.01025		-0.001341	-0.002568
0.0103		-0.001387	-0.007651
0.01035		-0.001394	-0.010747
0.0104		-0.001338	-0.010973
0.01045		-0.001359	-0.011062
0.0105		-0.001317	-0.011137
0.01055		-0.001364	-0.010973
0.0106		-0.001381	-0.011162
0.01065		-0.001411	-0.010892
0.0107		-0.001346	-0.011372
0.01075		-0.001359	-0.010737
0.0108		-0.001342	-0.011506
0.01085		-0.001323	-0.010442
0.0109		-0.001337	-0.012249
0.01095		-0.00137	0.003222
0.011		-0.001333	0.019014
0.01105		-0.001324	0.019498
0.0111		-0.001383	0.020901
0.01115		-0.001304	0.020107
0.0112		-0.001367	0.020794
0.01125		-0.001387	0.020307
0.0113		-0.001346	0.02075
0.01135		-0.001367	0.020336
0.0114		-0.001359	0.020669
0.01145		-0.00132	0.020328
0.0115		-0.001301	0.020742
0.01155		-0.001282	0.020265
0.0116		-0.001272	0.021774
0.01165		-0.001304	0.025038
0.0117		-0.001341	0.0257
0.01175		-0.001365	0.025779
0.0118		-0.001359	0.025789
0.01185		-0.001428	0.025854
0.0119		-0.001372	0.025842
0.01195		-0.001374	0.025772
0.012		-0.001328	0.025676
0.01205		-0.001408	0.025746
0.0121		-0.000551	0.025752
0.01215		0.000513	0.025809
0.0122		0.000503	0.025718
0.01225		0.000618	0.025831
0.0123		0.000616	0.025725
0.01235		0.0006	0.025787
0.0124		0.000594	0.025713
0.01245		0.000633	0.025891
0.0125		0.000557	0.02568
0.01255		0.000588	0.025906
0.0126		0.000562	0.02561
0.01265		0.000555	0.025917
0.0127		0.000573	0.025525
0.01275		0.000568	0.025994
0.0128		0.000577	0.025322
0.01285		0.000605	0.026223
0.0129		0.000618	0.024949
0.01295		0.000613	0.037054
0.013		0.000625	0.047669
0.01305		0.000596	0.048179
0.0131		0.000669	0.048904
0.01315		0.000598	0.048769
0.0132		0.000605	0.048767
0.01325		0.00061	0.048885
0.0133		0.00058	0.048481
0.01335		0.000563	0.048967
0.0134		0.000472	0.048303
0.01345		-3.98E-05	0.04937
0.0135		-0.000218	0.047717
0.01355		-0.000266	0.050632
0.0136		-0.000284	0.032171
0.01365		-0.000266	0.006609
0.0137		-0.000287	0.004989
0.01375		-0.000322	0.002809
0.0138		-0.000311	0.003828
0.01385		-0.000321	0.002836
0.0139		-0.000329	0.003685
0.01395		-0.000318	0.003105
0.014		-0.000241	0.003618
0.01405		-0.000292	0.003101
0.0141		0.000199	0.003527
0.01415		0.00055	0.003126
0.0142		0.000609	0.003663
0.01425		0.000614	0.002124
0.0143		0.000584	-0.002566
0.01435		0.000665	-0.003784
0.0144		0.000646	-0.003847
0.01445		0.000609	-0.003937
0.0145		0.000603	-0.003811
0.01455		0.0006	-0.003993
0.0146		0.000668	-0.003873
0.01465		0.000666	-0.003984
0.0147		0.000618	-0.003793
0.01475		0.000616	-0.004032
0.0148		0.00067	-0.003895
0.01485		0.000565	-0.004125
0.0149		0.000552	-0.00408
0.01495		0.000576	-0.011839
0.015		0.000565	-0.016046
0.01505		0.00062	-0.01628
0.0151		0.00057	-0.016458
0.01515		0.000573	-0.016513
0.0152		0.000589	-0.016375
0.01525		0.000621	-0.016576
0.0153		0.000609	-0.016218
0.01535		0.000603	-0.016672
0.0154		0.000284	-0.016175
0.01545		-0.000958	-0.016921
0.0155		-0.001243	-0.015797
0.01555		-0.001326	-0.017445
0.0156		-0.00133	0.002306
0.01565		-0.001339	0.018801
0.0157		-0.00136	0.019267
0.01575		-0.001343	0.020629
0.0158		-0.001379	0.020011
0.01585		-0.001379	0.020477
0.0159		-0.001381	0.020225
0.01595		-0.001298	0.020357
0.016		-0.001331	0.02038
0.01605		-0.001232	0.020184
0.0161		-2.19E-05	0.020531
0.01615		0.000547	0.01994
0.0162		0.000536	0.021226
0.01625		0.000558	0.013763
0.0163		0.000551	-0.001386
0.01635		0.000565	-0.003078
0.0164		0.000521	-0.004132
0.01645		0.000605	-0.003671
0.0165		0.000547	-0.004128
0.01655		0.000594	-0.003726
0.0166		0.000561	-0.004069
0.01665		0.000555	-0.003839
0.0167		0.000592	-0.004041
0.01675		0.000595	-0.003899
0.0168		0.000559	-0.004017
0.01685		0.000551	-0.003918
0.0169		0.000568	-0.003604
0.01695		0.000633	-5.89E-05
0.017		0.000584	0.000993
0.01705		0.000599	0.001252
0.0171		0.000539	0.001179
0.01715		0.000574	0.001312
0.0172		0.000558	0.001142
0.01725		0.000628	0.001349
0.0173		0.000528	0.001072
0.01735		0.000786	0.0015
0.0174		-7.40E-05	0.001025
0.01745		-0.002675	0.001582
0.0175		-0.003244	0.000762
