0.00E+00	-0.015291	0.249076
5.00E-05	-0.013841	0.249427
1.00E-04	-0.013606	0.249006
0.0097		-0.000351	-0.281161
0.00975		-0.000343	-0.280854
0.0098		-0.000366	-0.281359
0.00985		-0.00037	-0.28179
0.0099		-0.000362	-0.281967
0.00995		-0.000239	-0.281819
0.01		0.00162	-0.281867
0.01005		0.002516	-0.281789
0.0101		0.002472	-0.281809
0.01015		0.002569	-0.281702
0.0102		0.002568	-0.281688
0.01025		0.002618	-0.281645
0.0103		0.002533	-0.281603
0.01035		0.002671	-0.281606
0.0104		0.002546	-0.281405
0.01045		0.002638	-0.282012
0.0105		0.00245	-0.286864
0.01055		0.002703	-0.28855
0.0106		0.002303	-0.288622
0.01065		0.005271	-0.288675
0.0107		0.008554	-0.288673
0.01075		0.00872	-0.288575
0.0108		0.00897	-0.288524
0.01085		0.008863	-0.288531
0.0109		0.008942	-0.288431
0.01095		0.00887	-0.288352
0.011		0.00892	-0.288395
0.01105		0.008863	-0.2883
0.0111		0.008911	-0.288354
0.01115		0.008963	-0.287386
0.0112		0.008866	-0.286123
0.01125		0.009025	-0.28611
0.0113		0.008102	-0.285907
0.01135		0.005289	-0.28599
0.0114		0.004763	-0.285855
0.01145		0.004576	-0.285931
0.0115		0.004639	-0.285752
0.01155		0.004639	-0.28584
0.0116		0.004662	-0.285615
0.01165		0.004649	-0.285827
0.0117		0.004682	-0.285432
0.01175		0.004678	-0.286023
0.0118		0.004665	-0.283009
0.01185		0.004649	-0.275576
0.0119		0.004583	-0.274334
0.01195		0.004904	-0.273808
0.012		0.006985	-0.27393
0.01205		0.007774	-0.273774
0.0121		0.00784	-0.273793
0.01215		0.007938	-0.27363
0.0122		0.007879	-0.273721
0.01225		0.007868	-0.273622
0.0123		0.007831	-0.273641
0.01235		0.00787	-0.273511
0.0124		0.007858	-0.273563
0.01245		0.007924	-0.273
0.0125		0.007799	-0.270745
0.01255		0.00784	-0.27025
0.0126		0.007795	-0.27011
0.01265		0.009414	-0.270097
0.0127		0.010822	-0.269949
0.01275		0.010812	-0.270038
0.0128		0.010985	-0.26986
0.01285		0.010874	-0.269952
0.0129		0.010937	-0.26979
0.01295		0.010892	-0.269955
0.013		0.010893	-0.269651
0.01305		0.010795	-0.269841
0.0131		0.010911	-0.269683
0.01315		0.010833	-0.278243
0.0132		0.010974	-0.28285
0.01325		0.010696	-0.283158
0.0133		0.012101	-0.28322
0.01335		0.013906	-0.283316
0.0134		0.014059	-0.283058
0.01345		0.014142	-0.283361
0.0135		0.014061	-0.282829
0.01355		0.014188	-0.283412
0.0136		0.014112	-0.282558
0.01365		0.014126	-0.283686
0.0137		0.014098	-0.281954
0.01375		0.014119	-0.284922
0.0138		0.014083	-0.268685
0.01385		0.014083	-0.239869
0.0139		0.014068	-0.237034
0.01395		0.014223	-0.234825
0.014		0.014943	-0.235699
0.01405		0.015118	-0.234836
0.0141		0.015181	-0.235389
0.01415		0.015154	-0.234886
0.0142		0.015131	-0.235307
0.01425		0.015166	-0.234764
0.0143		0.015173	-0.235137
0.01435		0.015095	-0.23464
0.0144		0.015094	-0.235349
0.01445		0.015131	-0.232537
0.0145		0.015101	-0.21942
0.01455		0.015112	-0.21538
0.0146		0.015079	-0.214936
0.01465		0.013704	-0.214718
0.0147		0.013043	-0.214716
0.01475		0.012984	-0.214658
0.0148		0.012954	-0.214584
0.01485		0.012999	-0.214532
0.0149		0.012959	-0.214547
0.01495		0.012939	-0.214547
0.015		0.012876	-0.214495
0.01505		0.012869	-0.214539
0.0151		0.012956	-0.213973
0.01515		0.0129	-0.208471
0.0152		0.012954	-0.206167
0.01525		0.012858	-0.206058
0.0153		0.013731	-0.205795
0.01535		0.014984	-0.205944
0.0154		0.01508	-0.205753
0.01545		0.015149	-0.20591
0.0155		0.015087	-0.205695
0.01555		0.015102	-0.205776
0.0156		0.015027	-0.205603
0.01565		0.01509	-0.205818
0.0157		0.015109	-0.2053
0.01575		0.015069	-0.206116
0.0158		0.01505	-0.200484
0.01585		0.015032	-0.192699
0.0159		0.015087	-0.192455
0.01595		0.015048	-0.191544
0.016		0.015092	-0.192156
0.01605		0.015105	-0.191429
0.0161		0.015138	-0.192097
0.01615		0.015043	-0.191273
0.0162		0.015062	-0.192152
0.01625		0.015025	-0.191078
0.0163		0.015032	-0.19241
0.01635		0.014996	-0.190441
0.0164		0.014983	-0.19379
0.01645		0.015027	-0.177582
0.0165		0.015003	-0.143269
0.01655		0.015016	-0.138755
0.0166		0.015053	-0.136524
0.01665		0.015109	-0.137236
0.0167		0.015057	-0.136385
0.01675		0.015039	-0.136989
0.0168		0.01502	-0.136426
0.01685		0.014999	-0.136991
0.0169		0.014989	-0.136419
0.01695		0.015032	-0.136914
0.017		0.015021	-0.136186
0.01705		0.014996	-0.13739
0.0171		0.014946	-0.131922
0.01715		0.014942	-0.095227
0.0172		0.014999	-0.082282
0.01725		0.014996	-0.081387
0.0173		0.014985	-0.080531
0.01735		0.015024	-0.080916
0.0174		0.01501	-0.080561
0.01745		0.014966	-0.080903
0.0175		0.014933	-0.080493
0.01755		0.014974	-0.080856
0.0176		0.014981	-0.080371
0.01765		0.014909	-0.080874
0.0177		0.014991	-0.080217
0.01775		0.014958	-0.080949
0.0178		0.015037	-0.065562
0.01785		0.014935	-0.054096
0.0179		0.015139	-0.054074
0.01795		0.014007	-0.052855
0.018		0.012079	-0.053623
0.01805		0.011869	-0.05292
0.0181		0.01169	-0.053579
0.01815		0.011775	-0.052872
0.0182		0.01169	-0.053605
0.01825		0.011705	-0.052681
0.0183		0.011665	-0.053797
0.01835		0.011675	-0.052252
0.0184		0.011702	-0.05471
0.01845		0.011732	-0.037091
0.0185		0.011701	-0.01654
0.01855		0.011742	-0.015654
0.0186		0.011721	-0.013701
0.01865		0.011706	-0.014784
0.0187		0.01172	-0.013804
0.01875		0.011734	-0.0147
0.0188		0.011712	-0.013854
0.01885		0.011666	-0.014699
0.0189		0.01168	-0.013771
0.01895		0.011673	-0.014962
0.019		0.011686	-0.013395
0.01905		0.011731	-0.015774
0.0191		0.011702	-0.005682
0.01915		0.011694	0.01984
0.0192		0.011701	0.024531
0.01925		0.011732	0.025591
0.0193		0.011033	0.025678
0.01935		0.010645	0.025633
0.0194		0.010655	0.025862
0.01945		0.010631	0.025528
0.0195		0.010675	0.026079
0.01955		0.010663	0.025286
0.0196		0.010581	0.026235
0.01965		0.010586	0.024961
0.0197		0.010614	0.026711
0.01975		0.01062	0.025402
0.0198		0.010592	0.080432
0.01985		0.010579	0.116205
0.0199		0.010645	0.116868
0.01995		0.01062	0.119963
0.02		0.010598	0.118383
0.02005		0.010612	0.119808
0.0201		0.010582	0.118723
0.02015		0.010537	0.119624
0.0202		0.010615	0.118856
0.02025		0.010619	0.119403
0.0203		0.010574	0.118918
0.02035		0.010605	0.119359
0.0204		0.010612	0.118904
0.02045		0.01054	0.11995
0.0205		0.010641	0.120866
0.02055		0.010461	0.121055
0.0206		0.011203	0.121033
0.02065		0.012489	0.120969
0.0207		0.01268	0.121047
0.02075		0.012711	0.120813
0.0208		0.012673	0.121131
0.02085		0.012684	0.120754
0.0209		0.012625	0.121155
0.02095		0.012689	0.120459
0.021		0.012696	0.121455
0.02105		0.01267	0.119827
0.0211		0.012686	0.128923
0.02115		0.012662	0.142949
0.0212		0.01264	0.14425
0.02125		0.012549	0.145235
0.0213		0.01059	0.144872
0.02135		0.009609	0.145167
0.0214		0.009584	0.144946
0.02145		0.009539	0.14494
0.0215		0.009587	0.144973
0.02155		0.009498	0.144901
0.0216		0.009602	0.145121
0.02165		0.009495	0.14478
0.0217		0.009587	0.145148
0.02175		0.009494	0.145519
0.0218		0.009607	0.175046
0.02185		0.009495	0.191808
0.0219		0.009602	0.192085
0.02195		0.007418	0.19356
0.022		0.005615	0.192681
0.02205		0.005534	0.193398
0.0221		0.005353	0.192845
0.02215		0.005443	0.19331
0.0222		0.005395	0.192751
0.02225		0.00543	0.193221
0.0223		0.005377	0.192767
0.02235		0.005427	0.193218
0.0224		0.005374	0.193031
0.02245		0.00541	0.20626
0.0225		0.005397	0.214188
0.02255		0.005408	0.21433
0.0226		0.005415	0.215071
0.02265		0.005356	0.214504
0.0227		0.005422	0.214951
0.02275		0.00543	0.214491
0.0228		0.005373	0.214907
0.02285		0.005379	0.214334
0.0229		0.005373	0.214912
0.02295		0.005385	0.214115
0.023		0.005416	0.215165
0.02305		0.005433	0.213287
0.0231		0.005475	0.222468
0.02315		0.005338	0.240613
0.0232		0.005555	0.242874
0.02325		0.004691	0.244027
0.0233		0.001291	0.243557
0.02335		0.000414	0.243958
0.0234		0.000269	0.243595
0.02345		0.000267	0.243919
0.0235		0.000239	0.243536
0.02355		0.000192	0.243768
0.0236		0.000171	0.243447
0.02365		0.000204	0.243725
0.0237		0.000258	0.243263
0.02375		0.000265	0.244588
0.0238		0.000241	0.248539
0.02385		0.000255	0.249668
0.0239		9.46E-05	0.249597
0.02395		-0.001829	0.249739
0.024		-0.002709	0.249554
0.02405		-0.002758	0.249722
0.0241		-0.002891	0.249445
0.02415		-0.002869	0.249649
0.0242		-0.002861	0.249321
0.02425		-0.002832	0.249731
0.0243		-0.002917	0.249116
0.02435		-0.002906	0.249811
0.0244		-0.002946	0.249358
0.02445		-0.002862	0.274354
0.0245		-0.002902	0.289954
0.02455		-0.002782	0.290217
0.0246		-0.003847	0.291575
0.02465		-0.004941	0.290865
0.0247		-0.004989	0.29136
0.02475		-0.005107	0.290867
0.0248		-0.005009	0.291161
0.02485		-0.005087	0.290874
0.0249		-0.00503	0.291027
0.02495		-0.005075	0.290867
0.025		-0.004943	0.290769
0.02505		-0.005085	0.2909
0.0251		-0.00502	0.289001
0.02515		-0.00503	0.286735
0.0252		-0.004916	0.286591
0.02525		-0.005549	0.286293
0.0253		-0.006886	0.286411
0.02535		-0.007051	0.286251
0.0254		-0.007126	0.28631
0.02545		-0.007078	0.286114
0.0255		-0.00712	0.286262
0.02555		-0.007127	0.286126
0.0256		-0.007123	0.286143
0.02565		-0.007099	0.285996
0.0257		-0.007083	0.286219
0.02575		-0.007088	0.285021
0.0258		-0.007107	0.281668
0.02585		-0.007148	0.280923
0.0259		-0.007112	0.280711
0.02595		-0.00849	0.280703
0.026		-0.009178	0.280549
0.02605		-0.009177	0.280614
0.0261		-0.009245	0.280526
0.02615		-0.009225	0.280536
0.0262		-0.009252	0.28035
0.02625		-0.009262	0.28047
0.0263		-0.009314	0.280261
0.02635		-0.009192	0.280633
0.0264		-0.009212	0.27879
0.02645		-0.009237	0.271117
0.0265		-0.009267	0.26905
0.02655		-0.00926	0.268605
0.0266		-0.009849	0.268594
0.02665		-0.010248	0.268509
