0.00E+00	-0.007083	0.024168
5.00E-05	-0.006691	0.023728
1.00E-04	-0.006658	0.024323
0.00015		-0.006616	0.023636
0.0002		-0.006579	0.024483
0.00025		-0.006556	0.023205
0.0003		-0.00662	0.025347
0.00035		-0.00659	0.015265
0.0004		-0.006649	-0.009733
0.00045		-0.006536	-0.013695
0.0005		-0.006572	-0.015149
0.00055		-0.006595	-0.014763
0.0006		-0.006564	-0.015202
0.00065		-0.006582	-0.014951
0.0007		-0.006586	-0.015146
0.00075		-0.006579	-0.01495
0.0008		-0.006611	-0.015127
0.00085		-0.006606	-0.01505
0.0009		-0.006575	-0.015114
0.00095		-0.006579	-0.014974
0.001		-0.006569	-0.014899
0.00105		-0.006582	-0.012855
0.0011		-0.006572	-0.011953
0.00115		-0.006524	-0.011886
0.0012		-0.006538	-0.011884
0.00125		-0.006558	-0.011893
0.0013		-0.00668	-0.011909
0.00135		-0.007349	-0.011867
0.0014		-0.007581	-0.011891
0.00145		-0.007626	-0.011964
0.0015		-0.007558	-0.011834
0.00155		-0.007577	-0.011899
0.0016		-0.007606	-0.011742
0.00165		-0.007584	-0.011889
0.0017		-0.007576	-0.010704
0.00175		-0.007551	-0.009916
0.0018		-0.007603	-0.009724
0.00185		-0.007506	-0.009817
0.0019		-0.007581	-0.009687
0.00195		-0.007573	-0.009886
0.002		-0.007578	-0.009658
0.00205		-0.00758	-0.009879
0.0021		-0.007544	-0.009528
0.00215		-0.007573	-0.01003
0.0022		-0.007614	-0.009406
0.00225		-0.007626	-0.010249
0.0023		-0.007536	-0.008812
0.00235		-0.00754	-0.01617
0.0024		-0.007595	-0.030315
0.00245		-0.007577	-0.032046
0.0025		-0.007609	-0.033
0.00255		-0.00753	-0.032619
0.0026		-0.007578	-0.03298
0.00265		-0.007101	-0.032752
0.0027		-0.006564	-0.03294
0.00275		-0.006543	-0.032722
0.0028		-0.006557	-0.032817
0.00285		-0.006539	-0.032741
0.0029		-0.006552	-0.032796
0.00295		-0.006558	-0.032922
0.003		-0.006505	-0.031719
0.00305		-0.006506	-0.027392
0.0031		-0.006545	-0.02665
0.00315		-0.006546	-0.026343
0.0032		-0.006598	-0.026505
0.00325		-0.006595	-0.026264
0.0033		-0.006552	-0.026526
0.00335		-0.006563	-0.02622
0.0034		-0.006519	-0.026549
0.00345		-0.006583	-0.026145
0.0035		-0.006572	-0.026578
0.00355		-0.00659	-0.026044
0.0036		-0.006594	-0.026883
0.00365		-0.006589	-0.025683
0.0037		-0.006569	-0.041015
0.00375		-0.006512	-0.053729
0.0038		-0.006565	-0.053796
0.00385		-0.006552	-0.055135
0.0039		-0.006575	-0.054358
0.00395		-0.006646	-0.055054
0.004		-0.007951	-0.054432
0.00405		-0.008564	-0.055123
0.0041		-0.008607	-0.054393
0.00415		-0.008709	-0.055052
