0.00E+00	-0.013218	0.263465
5.00E-05	-0.013235	0.263331
1.00E-04	-0.013199	0.263385
0.00015		-0.013253	0.262268
0.0002		-0.013166	0.244442
0.00025		-0.013292	0.23544
0.0003		-0.013195	0.235429
0.00035		-0.013394	0.234229
0.0004		-0.01302	0.235072
0.00045		-0.014452	0.234103
0.0005		-0.016924	0.235079
0.00055		-0.017132	0.233892
0.0006		-0.017264	0.235198
0.00065		-0.017171	0.23356
0.0007		-0.017272	0.235615
0.00075		-0.017202	0.232592
0.0008		-0.017291	0.237379
0.00085		-0.017205	0.199374
0.0009		-0.017221	0.158702
0.00095		-0.017221	0.157044
0.001		-0.017254	0.153437
0.00105		-0.017343	0.155173
0.0011		-0.016999	0.153563
0.00115		-0.015715	0.154806
0.0012		-0.015373	0.153651
0.00125		-0.015329	0.154566
0.0013		-0.015303	0.153644
0.00135		-0.015335	0.15454
0.0014		-0.015376	0.153599
0.00145		-0.015249	0.154858
0.0015		-0.015264	0.149482
0.00155		-0.015265	0.140818
0.0016		-0.01522	0.139737
0.00165		-0.015299	0.139207
0.0017		-0.01529	0.139386
0.00175		-0.015401	0.139133
0.0018		-0.017306	0.139331
0.00185		-0.018148	0.139015
0.0019		-0.018214	0.139306
0.00195		-0.018245	0.138911
0.002		-0.018195	0.139342
0.00205		-0.018254	0.138638
0.0021		-0.0182	0.139848
0.00215		-0.018269	0.134204
0.0022		-0.018184	0.105693
0.00225		-0.018196	0.097033
0.0023		-0.018304	0.096172
0.00235		-0.01825	0.095876
0.0024		-0.018219	0.09591
0.00245		-0.018259	0.095732
0.0025		-0.018247	0.095881
0.00255		-0.018185	0.095578
0.0026		-0.018196	0.095884
0.00265		-0.018236	0.095463
0.0027		-0.018234	0.095974
0.00275		-0.018217	0.095245
0.0028		-0.018307	0.095802
0.00285		-0.018212	0.07234
0.0029		-0.018232	0.056004
0.00295		-0.018181	0.056089
0.003		-0.018228	0.054143
0.00305		-0.018166	0.055446
0.0031		-0.018513	0.054129
0.00315		-0.019157	0.05533
0.0032		-0.019183	0.05399
0.00325		-0.019195	0.05559
0.0033		-0.019156	0.053653
0.00335		-0.019219	0.056018
0.0034		-0.019242	0.052733
0.00345		-0.019245	0.058325
0.0035		-0.019258	0.026116
0.00355		-0.01922	-0.021784
0.0036		-0.019204	-0.025378
0.00365		-0.019237	-0.029244
0.0037		-0.019183	-0.027458
0.00375		-0.019387	-0.029195
0.0038		-0.021523	-0.027709
0.00385		-0.022383	-0.029108
0.0039		-0.022429	-0.027776
0.00395		-0.022488	-0.029158
0.004		-0.022477	-0.027551
0.00405		-0.022465	-0.029529
0.0041		-0.022434	-0.026406
0.00415		-0.022429	-0.039845
