0.00985		0.002976	0.041151
0.0099		0.002947	0.041301
0.00995		0.002821	0.04149
0.01		0.002868	0.041207
0.01005		0.002779	0.041536
0.0101		0.002831	0.041237
0.01015		0.002768	0.041466
0.0102		0.002804	0.041151
0.01025		0.002683	0.041655
0.0103		0.002804	0.04116
0.01035		0.002716	0.041799
0.0104		0.002891	0.040861
0.01045		0.00204	0.050475
0.0105		0.000877	0.059325
0.01055		0.000829	0.05967
0.0106		0.000699	0.060277
0.01065		0.000702	0.059974
0.0107		0.000753	0.060213
0.01075		0.000742	0.060028
0.0108		0.000738	0.06018
0.01085		0.000709	0.060129
0.0109		0.000727	0.060128
0.01095		0.00075	0.060203
0.011		0.000721	0.059925
0.01105		0.000651	0.060345
0.0111		0.001189	0.057489
0.01115		0.003187	0.053379
0.0112		0.003763	0.053146
0.01125		0.003876	0.052747
0.0113		0.003777	0.052931
0.01135		0.00385	0.052762
0.0114		0.003763	0.052784
0.01145		0.00384	0.052791
0.0115		0.003778	0.052735
0.01155		0.003867	0.052788
0.0116		0.003865	0.052644
0.01165		0.003854	0.052883
0.0117		0.003718	0.052337
0.01175		0.003769	0.055312
0.0118		0.003134	0.076091
0.01185		0.002862	0.083259
0.0119		0.002804	0.083821
0.01195		0.00276	0.084175
0.012		0.002764	0.08408
0.01205		0.00283	0.084235
0.0121		0.002827	0.084097
0.01215		0.002793	0.084197
0.0122		0.002772	0.083971
0.01225		0.002834	0.08426
0.0123		0.002734	0.083882
0.01235		0.002916	0.08417
0.0124		0.002709	0.084479
0.01245		0.004081	0.101457
0.0125		0.005789	0.110588
0.01255		0.005876	0.110738
0.0126		0.006009	0.111452
0.01265		0.005959	0.111067
0.0127		0.006037	0.111377
0.01275		0.005987	0.111141
0.0128		0.006018	0.111323
0.01285		0.005961	0.111123
0.0129		0.005979	0.11125
0.01295		0.005989	0.111176
0.013		0.005885	0.111213
0.01305		0.006051	0.111124
0.0131		0.005455	0.110697
0.01315		0.004054	0.110065
0.0132		0.003904	0.110058
0.01325		0.003778	0.109922
0.0133		0.003817	0.109976
0.01335		0.003807	0.10986
0.0134		0.003797	0.110022
0.01345		0.003841	0.109882
0.0135		0.003836	0.110078
0.01355		0.003841	0.109808
0.0136		0.003802	0.110048
0.01365		0.003822	0.109578
0.0137		0.003777	0.11028
0.01375		0.003812	0.107169
0.0138		0.001378	0.098309
0.01385		-9.60E-06	0.096764
0.0139		-5.21E-05	0.096254
0.01395		-0.000214	0.096335
0.014		-0.000134	0.096209
0.01405		-0.000137	0.096236
0.0141		-0.000175	0.096099
0.01415		-0.000207	0.096198
0.0142		-0.000215	0.096164
0.01425		-0.000266	0.096118
0.0143		-0.000215	0.096146
0.01435		-0.000166	0.095996
0.0144		-0.000207	0.096526
0.01445		0.001464	0.09925
0.0145		0.002655	0.09998
0.01455		0.002729	0.100167
0.0146		0.002786	0.100128
0.01465		0.002746	0.100102
0.0147		0.002813	0.100041
0.01475		0.002773	0.100149
0.0148		0.002734	0.100031
0.01485		0.002812	0.100073
0.0149		0.00279	0.09996
0.01495		0.002793	0.100068
0.015		0.002749	0.099962
0.01505		0.002947	0.100086
0.0151		0.001888	0.10175
0.01515		9.05E-05	0.103159
0.0152		-0.000136	0.102773
0.01525		-0.000296	0.103376
0.0153		-0.000154	0.102774
0.01535		-0.000177	0.103455
0.0154		-0.000171	0.102564
0.01545		-0.00027	0.103508
0.0155		-0.000193	0.102314
0.01555		-0.000226	0.10372
0.0156		-0.000175	0.101823
0.01565		-0.000211	0.104659
0.0157		-0.000166	0.09991
0.01575		-0.000243	0.125452
0.0158		-0.000925	0.166242
0.01585		-0.001157	0.170017
0.0159		-0.001232	0.172679
0.01595		-0.001138	0.171712
0.016		-0.001216	0.172581
0.01605		-0.001249	0.172049
0.0161		-0.001249	0.172305
0.01615		-0.001232	0.172187
0.0162		-0.001224	0.172016
0.01625		-0.001253	0.172538
0.0163		-0.001246	0.171474
0.01635		-0.001213	0.173749
0.0164		-0.00125	0.162123
0.01645		-0.00013	0.110949
0.0165		0.000643	0.097711
0.01655		0.000714	0.095652
0.0166		0.000703	0.09551
0.01665		0.000632	0.095252
0.0167		0.000706	0.095314
0.01675		0.00071	0.095246
0.0168		0.000647	0.095189
0.01685		0.000728	0.09524
0.0169		0.000644	0.095116
0.01695		0.000707	0.095279
0.017		0.000642	0.09505
0.01705		0.00081	0.09519
0.0171		-0.000627	0.084529
0.01715		-0.002122	0.077772
0.0172		-0.00215	0.077591
0.01725		-0.002298	0.077056
0.0173		-0.002214	0.077255
0.01735		-0.002311	0.077046
0.0174		-0.00231	0.077111
0.01745		-0.002285	0.077081
0.0175		-0.002214	0.077061
0.01755		-0.002273	0.077064
0.0176		-0.002225	0.076954
0.01765		-0.002355	0.077222
0.0177		-0.002235	0.076772
0.01775		-0.002691	0.079359
0.0178		-0.004169	0.082837
0.01785		-0.004403	0.083137
0.0179		-0.004457	0.083232
0.01795		-0.004509	0.08325
0.018		-0.004484	0.083144
0.01805		-0.004409	0.083302
0.0181		-0.00452	0.083103
0.01815		-0.00449	0.083421
0.0182		-0.004483	0.08297
0.01825		-0.004523	0.083603
0.0183		-0.004494	0.082551
0.01835		-0.00445	0.084305
0.0184		-0.004366	0.075785
0.01845		-0.003638	0.056422
0.0185		-0.003378	0.053767
0.01855		-0.003313	0.052607
0.0186		-0.003292	0.052968
0.01865		-0.003263	0.052562
0.0187		-0.003264	0.052832
0.01875		-0.003267	0.052556
0.0188		-0.003371	0.052746
0.01885		-0.003237	0.052526
0.0189		-0.003297	0.052772
0.01895		-0.00323	0.05263
0.019		-0.003322	0.052751
