0.00E+00	-0.012926	0.001431
5.00E-05	-0.01293	0.001431
1.00E-04	-0.012936	0.001412
0.00015		-0.012888	0.001557
0.0002		-0.012959	0.001291
0.00025		-0.012995	0.003715
0.0003		-0.013018	0.005418
0.00035		-0.012967	0.005662
0.0004		-0.012961	0.005596
0.00045		-0.01293	0.005851
0.0005		-0.012888	0.005463
0.00055		-0.01294	0.005891
0.0006		-0.012917	0.005382
0.00065		-0.012991	0.006054
0.0007		-0.012948	0.005137
0.00075		-0.012963	0.006413
0.0008		-0.012311	0.00456
0.00085		-0.011747	0.007824
0.0009		-0.011788	-0.008469
0.00095		-0.011723	-0.043504
0.001		-0.011776	-0.047952
0.00105		-0.011728	-0.050303
0.0011		-0.011784	-0.049428
0.00115		-0.011793	-0.050403
0.0012		-0.01178	-0.049616
0.00125		-0.011758	-0.050292
0.0013		-0.011746	-0.049643
0.00135		-0.011771	-0.05026
0.0014		-0.01178	-0.049516
0.00145		-0.011749	-0.050474
0.0015		-0.011725	-0.048967
0.00155		-0.011716	-0.05494
0.0016		-0.011756	-0.071219
0.00165		-0.011779	-0.074392
0.0017		-0.011739	-0.075159
0.00175		-0.011716	-0.075017
0.0018		-0.011728	-0.075126
0.00185		-0.01178	-0.075034
0.0019		-0.011703	-0.075113
0.00195		-0.011716	-0.075032
0.002		-0.011754	-0.075071
0.00205		-0.011732	-0.075087
0.0021		-0.011717	-0.075035
0.00215		-0.011052	-0.075061
0.0022		-0.010729	-0.0755
0.00225		-0.010705	-0.085826
0.0023		-0.010716	-0.091293
0.00235		-0.010718	-0.091345
0.0024		-0.010673	-0.091855
0.00245		-0.010678	-0.091507
0.0025		-0.010714	-0.091891
0.00255		-0.010759	-0.091548
0.0026		-0.010725	-0.091852
0.00265		-0.010742	-0.091423
0.0027		-0.010749	-0.091827
0.00275		-0.010667	-0.09136
0.0028		-0.010039	-0.091956
0.00285		-0.009599	-0.091032
0.0029		-0.009584	-0.097399
0.00295		-0.009627	-0.105277
0.003		-0.009646	-0.105669
0.00305		-0.009613	-0.106345
0.0031		-0.009609	-0.105996
0.00315		-0.009607	-0.106306
0.0032		-0.009576	-0.106012
0.00325		-0.009592	-0.106286
0.0033		-0.009602	-0.105985
0.00335		-0.009568	-0.106254
0.0034		-0.009596	-0.105983
0.00345		-0.009125	-0.106275
0.0035		-0.008585	-0.105761
0.00355		-0.008522	-0.107567
0.0036		-0.008586	-0.111477
0.00365		-0.008572	-0.11215
0.0037		-0.008574	-0.112248
0.00375		-0.008515	-0.11236
