0	0			0			0
143	-342.738864	-343.093291	-173.998083
144	-343.420702	-343.335784	-174.485631
145	-344.287624	-343.729484	-175.172388
146	-345.00068	-343.656682	-175.746596
147	-346.012803	-343.753928	-176.518087
148	-347.354378	-343.431794	-177.350512
149	-348.687738	-342.568268	-177.812972
150	-350.894308	-342.187075	-178.622388
151	-353.07839	-342.20276	-178.892896
152	-354.646518	-343.763992	-178.667836
153	-354.456684	-346.040642	-178.118998
154	-353.273099	-347.179005	-177.442299
155	-352.757389	-348.30009	-177.491807
156	-352.162195	-348.42418	-177.146223
157	-351.825194	-348.613664	-176.827973
158	-352.163422	-349.017525	-177.028974
159	-352.57689	-349.494138	-177.319152
160	-352.145196	-348.987278	-176.692237
161	-352.869853	-349.471433	-177.101349
162	-353.480886	-349.810773	-177.327365
163	-354.237771	-350.26816	-177.685271
164	-354.421169	-350.239395	-177.560771
165	-354.757043	-350.200743	-177.588696
166	-355.497041	-350.67535	-177.921847
167	-356.111801	-350.565197	-177.975547
168	-356.975203	-351.07794	-178.311274
169	-357.591253	-350.658739	-177.694756
170	-357.623635	-351.116894	-178.052068
171	-357.861521	-351.459722	-178.382188
172	-358.53439	-351.893607	-178.815708
173	-358.397238	-351.844057	-178.5185
174	-358.6383	-352.126914	-178.852178
175	-358.327368	-352.258465	-178.73554
176	-358.233824	-352.455738	-178.941086
177	-357.488036	-352.479622	-178.843992
178	-357.377829	-353.002727	-179.373364
179	-356.757344	-352.745917	-179.282572
180	-356.045613	-352.262244	-178.923314
181	-355.972282	-352.024256	-178.871953
182	-356.713948	-352.372484	-179.07677
183	-356.753989	-352.071481	-178.64007
184	-357.26276	-352.084921	-178.554939
185	-357.69464	-352.645635	-178.880553
186	-358.20101	-352.911216	-179.023643
187	-359.066248	-353.646619	-179.343745
188	-359.221431	-354.000893	-179.28332
189	-359.171275	-354.4673	-179.430845
190	-358.919686	-354.977328	-179.750818
191	-358.138439	-354.932313	-179.271578
192	-358.832731	-355.646184	-179.720165
193	-358.891212	-355.695246	-179.429431
194	-359.174335	-355.681444	-179.342244
195	-360.358174	-356.536896	-179.978218
196	-360.505322	-356.374139	-179.42123
197	-361.271641	-356.848705	-179.594711
198	-361.792514	-357.12732	-179.486348
199	-362.589009	-357.72647	-179.75798
200	-362.631275	-357.778371	-179.232881
